first,second
"(""C2-disconnected"", ""Fraction_costs_rem"")","[0.2731662346755295, 0.2731662346755295, 0.24076240804484716, 0.24076240804484716, 0.19446311491106844, 0.19446311491106844, 0.28979602227575846, 0.28979602227575846, 0.2560142123829326, 0.2560142123829326, 0.2077230341225319, 0.2077230341225319, 0.30557142949687216, 0.30557142949687216, 0.27018828217036694, 0.27018828217036694, 0.220384338127258, 0.220384338127258, 0.22168564036633984, 0.22168564036633984, 0.19345515134483404, 0.19345515134483404, 0.1542945096030304, 0.1542945096030304, 0.2282448264461127, 0.2282448264461127, 0.19938979516350433, 0.19938979516350433, 0.1592270451032545, 0.1592270451032545, 0.23473081652765507, 0.23473081652765507, 0.20515860378078704, 0.20515860378078704, 0.1640915273803364, 0.1640915273803364, 0.20336296895093287, 0.20336296895093287, 0.1772591644995767, 0.1772591644995767, 0.14059238007565744, 0.14059238007565744, 0.20562553089830884, 0.20562553089830884, 0.17903249066692428, 0.17903249066692428, 0.14237187752822628, 0.14237187752822628, 0.2079990091602099, 0.2079990091602099, 0.18112138898839594, 0.18112138898839594, 0.14399580352553834, 0.14399580352553834]"
"(""C2-disconnected"", ""RC_max"")","[804.054362828281, 804.054362828281, 806.919502508194, 806.919502508194, 807.7369927769765, 807.7369927769765, 918.7996307427505, 918.7996307427505, 920.3656307425873, 920.3656307425873, 921.715630742377, 921.715630742377, 1011.7216447474991, 1011.7216447474991, 1011.7216447474991, 1011.7216447474991, 1016.4687043650505, 1016.4687043650505, 507.9522687740251, 507.9522687740251, 507.24726877398064, 507.24726877398064, 507.24126877394986, 507.24126877394986, 552.17557780182, 552.17557780182, 550.969577801785, 550.969577801785, 550.9005778017334, 550.9005778017334, 596.7018341494704, 596.7018341494704, 594.6078341494347, 594.6078341494347, 594.5568341494093, 594.5568341494093, 435.88785205538494, 435.88785205538494, 426.2008520551568, 426.2008520551568, 423.5218520551024, 423.5218520551024, 446.4401484600013, 446.4401484600013, 443.1520720535737, 443.1520720535737, 440.0500720534041, 440.0500720534041, 455.35174879219335, 455.35174879219335, 457.6577020450785, 457.6577020450785, 457.50770204276637, 457.50770204276637]"
"(""C2-disconnected"", ""Total_budget_per_net"")","[-352.58646412332143, -288.9499395709918, -134.1838961544903, -109.9939922210489, 296.4934980259852, 243.20780032025058, -458.3031031876623, -375.5936884867166, -240.35483140213077, -196.98134070540686, 191.16857505279143, 156.8108152732312, -563.928057533456, -462.14455077195703, -344.62820844466256, -282.52814347264916, 86.04567574854134, 70.582495224351, -36.284373775554926, -29.730912338881016, 182.12248133346185, 149.27685381126, 611.7418866124622, 501.7901076705633, -66.64642759761193, -54.60589198198444, 151.89716120208286, 124.5018310953073, 581.6521096877013, 477.11781570461585, -96.98062945386751, -79.45504998103557, 121.85369565388865, 99.87814155006714, 551.72043463912, 452.56544981149267, 50.94360828943901, 41.743376995949255, 269.039896780672, 220.4943295886825, 698.2992120985856, 572.8122876499411, 42.451989220502945, 34.786266905948125, 260.55398500725454, 213.57584220476647, 689.8494823051908, 565.8516505023905, 33.84679879546724, 27.73288489590266, 252.03275243501125, 206.58560712933206, 681.3012936415521, 558.8725807440248]"
"(""C3-full_integration_net_cap"", ""ETS_price"")",Any[]
"(""C5-conditional_integration"", ""Total_net_emissions"")","[17.637900000000005, 17.637900000000005, 17.556000000000004, 17.556000000000004, 18.530099999999997, 18.530099999999997, 17.709300000000013, 17.709300000000013, 17.674200000000006, 17.674200000000006, 19.131599999999995, 19.131599999999995, 17.80620000000001, 17.80620000000001, 17.843100000000003, 17.843100000000003, 19.771499999999996, 19.771499999999996, 17.515199999999997, 17.515199999999997, 17.433899999999998, 17.433899999999998, 17.447699999999998, 17.447699999999998, 17.538899999999998, 17.538899999999998, 17.435399999999998, 17.435399999999998, 17.470499999999998, 17.470499999999998, 17.5425, 17.5425, 17.436000000000003, 17.436000000000003, 17.4972, 17.4972, 17.492699999999996, 17.492699999999996, 17.429699999999997, 17.429699999999997, 17.437499999999996, 17.437499999999996, 17.49449999999999, 17.49449999999999, 17.434799999999996, 17.434799999999996, 17.419199999999996, 17.419199999999996, 17.4855, 17.4855, 17.432699999999997, 17.432699999999997, 17.427899999999998, 17.427899999999998]"
"(""C6-removal_obligation"", ""Emitter_cost_avg"")","[387.592008240352, 387.592008240352, 479.09350214341185, 479.09350214341185, 631.8153400069564, 631.8153400069564, 397.21727444023645, 397.21727444023645, 496.401740989728, 496.401740989728, 661.629690091247, 661.629690091247, 405.0969660061205, 405.0969660061205, 510.7588128827799, 510.7588128827799, 686.8418758927776, 686.8418758927776, 337.84289855859663, 337.84289855859663, 389.78110269104263, 389.78110269104263, 485.5714598054291, 485.5714598054291, 345.80918144916484, 345.80918144916484, 403.0428763527441, 403.0428763527441, 505.06400340372466, 505.06400340372466, 352.7442233224179, 352.7442233224179, 414.7001149567826, 414.7001149567826, 522.6967276085832, 522.6967276085832, 302.34505718715724, 302.34505718715724, 330.41008603445107, 330.41008603445107, 403.053844408442, 403.053844408442, 307.0426237889419, 307.0426237889419, 337.7146110081952, 337.7146110081952, 412.5233692127571, 412.5233692127571, 311.3177018309562, 311.3177018309562, 344.43884945332957, 344.43884945332957, 421.2326360763462, 421.2326360763462]"
"(""C6-removal_obligation"", ""RC_max"")","[464.7508729014863, 464.7508729014863, 535.1942076267259, 535.1942076267259, 692.8790962618763, 692.8790962618763, 484.73250397231453, 484.73250397231453, 567.3481528059516, 567.3481528059516, 737.0584566331086, 737.0584566331086, 500.32118721732303, 500.32118721732303, 594.9990763430606, 594.9990763430606, 780.9743388222184, 780.9743388222184, 433.5284245485691, 433.5284245485691, 433.1486483578435, 433.1486483578435, 511.1582274626845, 511.1582274626845, 446.75209567213153, 446.75209567213153, 446.94330184715807, 446.94330184715807, 542.236006012513, 542.236006012513, 457.4125405423691, 457.4125405423691, 456.3465501465851, 456.3465501465851, 571.5247070820591, 571.5247070820591, 423.0421599687764, 423.0421599687764, 422.9908186576135, 422.9908186576135, 420.9819024386256, 420.9819024386256, 429.4031409524509, 429.4031409524509, 430.6041319713113, 430.6041319713113, 429.615142253058, 429.615142253058, 435.3554831233044, 435.3554831233044, 435.7329810900894, 435.7329810900894, 440.2764779077056, 440.2764779077056]"
"(""C3-full_integration_net_cap"", ""Total_costs_per_abat"")","[20.20564809201039, 20.20564809201039, 24.81067115384188, 24.81067115384188, 33.11639203312494, 33.11639203312494, 20.178223993967045, 20.178223993967045, 24.784876277618142, 24.784876277618142, 33.121229802768276, 33.121229802768276, 20.15507792187075, 20.15507792187075, 24.76077246275639, 24.76077246275639, 33.13180853984334, 33.13180853984334, 20.42814058576423, 20.42814058576423, 25.16891341916795, 25.16891341916795, 33.4518847921417, 33.4518847921417, 20.379772042383646, 20.379772042383646, 25.0923517147521, 25.0923517147521, 33.381309206722435, 33.381309206722435, 20.345876758827835, 20.345876758827835, 25.03828408844837, 25.03828408844837, 33.335470547728434, 33.335470547728434, 20.704941612679843, 20.704941612679843, 25.753559019215125, 25.753559019215125, 34.264411031011704, 34.264411031011704, 20.659183577345356, 20.659183577345356, 25.663900822146132, 25.663900822146132, 34.150792154599856, 34.150792154599856, 20.620395090155856, 20.620395090155856, 25.582174216237586, 25.582174216237586, 34.05331002939673, 34.05331002939673]"
"(""C8-rem_obl_gross"", ""Emitter_cost_avg"")","[404.32319365459074, 404.32319365459074, 451.2778612558647, 451.2778612558647, 552.9465224551138, 552.9465224551138, 435.4094248377017, 435.4094248377017, 482.47075811683374, 482.47075811683374, 586.6993800928257, 586.6993800928257, 466.4905815046241, 466.4905815046241, 513.5241819207218, 513.5241819207218, 610.5086795787347, 610.5086795787347, 313.3778535750413, 313.3778535750413, 361.73692470044966, 361.73692470044966, 435.996742726923, 435.996742726923, 321.8638128726379, 321.8638128726379, 370.31707508405276, 370.31707508405276, 447.87241200142626, 447.87241200142626, 330.31374571451596, 330.31374571451596, 378.03502491337247, 378.03502491337247, 459.00598559268826, 459.00598559268826, 288.9648599413278, 288.9648599413278, 332.6912425485957, 332.6912425485957, 403.0734286843484, 403.0734286843484, 291.35259700697225, 291.35259700697225, 335.4075739093986, 335.4075739093986, 406.5332397910854, 406.5332397910854, 293.7325421758189, 293.7325421758189, 338.59361885590874, 338.59361885590874, 409.7852050800057, 409.7852050800057]"
"(""C0-social_optimal"", ""ETS_price"")",Any[]
